John,Johnson,123 E 213 S,Apt 5,Salt Lake City,UT,84119     ,8011234567,email@gmail.com,123       ,10/59     ,
Billy,Bob ,444 Sasquatch Rd,,Midvale,ID,84302     ,2081234567,mymail@hotmail.com,,,
Jane,Austin,123 Lake Hills Rd,Ste 25,New York City,NY,12345     ,3754446547,,,,
Billy,Franks,RR 1 Box 45,,Middle Of Nowhere,OH,65423     ,3476584521,ICantUseComputers10@aol.com,,,
Mike,Meyers,666 Halloween Drv,,This One Place,WV,25486     ,0000000000,,,,
Jamie,Johnson,234 Mountain drv,Apt 25,Chicago,IL,48356     ,8889996666,,234       ,01/81     ,
Billy,Johnson,450 Drive drv,,Los Angeles,CA,93254     ,4567891234,supermail@slcc.edu,450       ,,
Frank,JOHNSON,1234 NEW HARBON WAY,APT 23,MIDVALE,UT        ,84047     ,1234567890,REALLYCOOLEMAIL@EMAIL.COM,1234      ,04/10     ,
ASDF,ASDF,ASDF,ASDF,ASDF,ASDF,ASDF      ,ASDF      ,,asdf      ,          ,
JAKE,JOHNSON,123 WAY WAY,APT 5,SALT LAKE CITY,UT        ,84119     ,1234567890,MAIL@MAIL.COM,123       ,12/12     ,
JAMES,FRANCO,4567 E 65477 S,,BEVERLY HILLS,CA        ,90210     ,1234567890,MAILADDY@SLCC.EDU,456       ,          ,
